i,count
11366,380
3055,357
10715,305
8999,257
611,217
4426,189
53,178
2820,177
13885,151
14555,151
14163,148
14578,145
13587,143
2741,141
12850,136
1351,118
2614,117
2742,111
8474,111
740,107
692,107
7124,107
1011,104
11126,104
1532,100
7324,94
58,88
3019,88
3465,87
14238,87
13388,86
1367,84
11184,82
1166,78
9054,76
1721,75
14307,74
405,73
101,73
13414,73
2869,70
5998,68
12426,68
7115,66
14166,66
323,64
1354,62
466,61
625,60
8477,59
7111,59
739,59
476,58
9610,58
11058,57
618,55
3811,55
1165,54
46,54
2142,53
1535,52
873,51
794,51
4132,50
11405,50
287,50
75,49
404,49
91,49
7121,49
1323,48
7113,48
1826,47
7427,47
52,46
2371,46
7554,45
771,45
6622,45
2375,45
6572,45
2457,45
4139,44
6364,44
149,43
3083,43
9055,43
1001,43
1529,42
11061,42
8376,41
14826,40
12877,40
4138,40
45,39
9784,39
3464,39
11045,38
3471,38
769,38
13842,38
1136,38
11347,37
4688,37
100,37
715,37
12513,37
14538,37
169,36
4687,36
1317,35
4,35
2130,35
687,35
2156,35
11112,35
4515,35
478,35
10820,34
2815,34
4608,34
14824,34
2739,34
7215,33
4135,33
1357,33
1003,33
8164,32
163,32
12290,32
14306,32
10651,32
626,32
4605,32
4516,32
2881,32
5299,31
9957,31
4726,31
4599,30
1475,30
110,30
383,30
5191,30
7057,30
6360,30
8904,30
726,30
686,29
2875,29
1778,29
1806,29
1320,29
11384,29
578,29
13891,29
1686,28
8907,28
879,28
10850,28
2309,28
11059,28
2133,28
14209,28
1355,28
3022,28
9117,28
4350,28
7135,28
7065,27
1880,27
5415,27
3602,27
6467,27
2448,27
3403,27
4134,27
13327,26
4133,26
2750,26
11306,26
2996,26
8802,26
2460,26
9781,26
1452,26
4424,26
8541,26
4429,26
11549,26
2556,25
3491,25
4407,25
4060,25
11120,25
2372,25
1568,25
9194,25
1145,25
14618,25
1779,25
2814,24
661,24
37,24
3407,24
4031,24
3222,24
464,24
7112,24
3085,24
1684,24
775,24
5788,24
14519,24
9851,24
4631,23
4594,23
8892,23
15215,23
10461,23
6286,23
7249,23
424,23
3452,23
14930,23
7697,23
1719,23
10038,23
2369,22
5686,22
15211,22
10627,22
14427,22
14898,22
870,22
2026,22
14702,22
3667,22
778,22
4220,22
14550,22
1146,22
3043,22
463,22
3021,22
15067,22
13912,22
9749,22
4416,22
3195,22
4514,22
2891,22
111,22
9192,22
9645,22
14260,22
10369,22
2067,22
8413,22
4037,22
764,22
1368,22
14301,22
3771,22
7527,22
363,21
1028,21
2139,21
795,21
796,21
11313,21
1206,21
2876,21
1648,21
2024,21
4962,21
4413,21
2959,21
4402,21
529,21
6361,21
14239,21
4403,21
4235,21
209,21
9052,21
5267,21
6836,21
6890,21
2781,21
1896,21
7217,21
15274,21
14080,21
11121,21
8262,20
1345,20
15066,20
6362,20
6363,20
132,20
4964,20
2764,20
14875,20
8848,20
4753,20
7014,20
705,20
7096,20
2125,20
5329,20
3160,20
13016,20
1213,20
3242,20
14486,20
10199,20
2379,20
230,20
7077,20
4596,20
8152,20
12332,20
2189,20
4821,20
7123,20
5845,20
1319,19
92,19
4635,19
15013,19
227,19
14670,19
2767,19
5449,19
3916,19
114,19
13187,19
9924,19
467,19
585,19
4845,19
8272,19
5096,19
6785,19
2527,19
7128,19
3500,19
49,19
5447,19
385,19
4401,19
8808,19
324,19
2822,19
5848,19
6106,19
7127,19
56,19
3214,19
788,19
3526,19
612,19
2774,19
4330,19
9911,19
6352,19
7325,19
811,19
3556,19
14825,19
1840,18
9880,18
760,18
113,18
6809,18
4474,18
5688,18
2779,18
10953,18
3100,18
7958,18
10536,18
2804,18
6623,18
14208,18
1796,18
3404,18
128,18
40,18
78,18
3097,18
10347,18
3943,18
7116,18
108,18
5266,18
3415,18
1742,18
1071,18
3699,18
5689,18
9249,18
1621,17
5580,17
2480,17
9409,17
1777,17
3945,17
3118,17
336,17
1318,17
241,17
5673,17
1419,17
5079,17
2490,17
4073,17
1321,17
13890,17
420,17
6897,17
1798,17
12427,17
2498,17
12274,17
12015,17
3153,17
2493,17
3359,17
3428,17
1732,17
143,17
3825,17
2816,17
2652,17
4660,17
488,17
3443,17
3821,17
3441,17
14049,17
3237,17
462,17
1222,16
14865,16
399,16
1646,16
14703,16
4045,16
167,16
9277,16
4765,16
5140,16
8375,16
8982,16
1460,16
1942,16
6476,16
2029,16
6661,16
9131,16
9901,16
3678,16
11210,16
118,16
8190,16
1746,16
13015,16
3931,16
2240,16
6432,16
538,16
2887,16
4865,16
5157,16
2744,16
1883,16
3213,16
11368,16
1123,16
1239,16
685,16
1569,16
4036,16
6477,16
13838,16
8506,16
142,16
2370,16
14597,16
7118,15
757,15
4414,15
2519,15
15228,15
3398,15
1534,15
7401,15
6621,15
4606,15
2221,15
4933,15
1443,15
4223,15
228,15
736,15
7832,15
1397,15
1447,15
4406,15
81,15
9307,15
3079,15
2314,15
42,15
437,15
6086,15
971,15
15060,15
1665,15
6516,15
5141,15
749,15
2225,15
6522,15
1302,15
742,15
6099,15
821,15
6171,15
994,15
4757,15
1533,15
103,15
4126,15
7015,15
928,15
3910,15
8144,15
1884,15
1204,15
9393,15
9853,15
7716,15
1406,15
231,15
7760,15
2378,15
4397,15
2234,15
2928,15
6825,15
13412,15
2935,15
1660,15
4657,15
176,15
9682,15
8049,15
14867,15
5281,15
806,15
780,15
4024,15
2597,15
1192,15
1855,14
9751,14
5607,14
7784,14
12748,14
748,14
9507,14
4286,14
1837,14
1269,14
4433,14
2743,14
1619,14
38,14
469,14
2319,14
13,14
3310,14
2086,14
9746,14
3149,14
133,14
12182,14
6207,14
489,14
6806,14
6228,14
11524,14
2014,14
1018,14
7696,14
2287,14
14584,14
2560,14
714,14
4769,14
4862,14
1381,14
234,14
1404,14
6908,14
6889,14
5563,14
2406,14
1668,14
1737,14
6537,14
6983,14
44,14
2675,14
2699,14
4468,14
6719,14
12955,14
6240,14
14136,14
3510,14
9022,14
964,14
2312,14
5846,14
6553,14
2206,14
15175,14
12110,14
12134,14
9021,13
11550,13
423,13
630,13
2657,13
871,13
1960,13
6175,13
3843,13
7719,13
1993,13
9015,13
4085,13
7236,13
9406,13
5155,13
1374,13
2516,13
1752,13
607,13
773,13
5858,13
4824,13
6990,13
64,13
8167,13
380,13
14081,13
1918,13
8761,13
455,13
395,13
88,13
1392,13
4136,13
11111,13
6327,13
8780,13
139,13
360,13
2958,13
4170,13
8217,13
8727,13
9226,13
1711,13
5748,13
4901,13
5753,13
386,13
6162,13
1683,13
1844,13
1444,13
8581,13
5097,13
7643,13
6170,13
3275,13
12007,13
465,13
5972,13
1161,13
2216,13
11880,13
7125,13
1148,13
6849,13
1503,13
9566,13
1436,13
3223,13
4437,13
9350,13
2765,13
1219,13
6760,13
3682,13
2148,13
11899,13
3141,13
2580,13
6494,13
11262,13
2342,13
6705,13
1056,13
12551,13
2707,13
1385,13
331,13
14851,13
7625,13
787,13
3598,13
1373,13
6033,13
235,13
1287,13
3671,13
14689,13
2311,13
5540,13
5570,13
4194,13
4598,13
1263,13
6750,13
894,13
14220,13
1709,13
188,13
7310,13
12875,13
6732,13
576,13
11219,13
753,13
3380,13
3697,13
1939,13
1836,12
5101,12
6296,12
87,12
378,12
3984,12
12547,12
2763,12
7570,12
1919,12
951,12
797,12
13672,12
3387,12
670,12
1869,12
2711,12
10870,12
374,12
6781,12
2141,12
422,12
3980,12
1201,12
2428,12
5325,12
1135,12
4188,12
2790,12
2582,12
1750,12
3453,12
477,12
1230,12
12073,12
6596,12
4497,12
1638,12
15064,12
1544,12
8443,12
5374,12
6544,12
1852,12
5368,12
4736,12
1198,12
9340,12
967,12
2325,12
2761,12
1858,12
8210,12
3148,12
9250,12
6575,12
2574,12
13651,12
14243,12
3393,12
6793,12
908,12
2210,12
11537,12
2199,12
9042,12
1153,12
4626,12
71,12
14122,12
6761,12
5001,12
74,12
745,12
13430,12
10088,12
2748,12
3067,12
5294,12
2520,12
10918,12
6816,12
177,12
15079,12
5452,12
3847,12
7730,12
1963,12
3033,12
3676,12
3084,12
1203,12
4238,12
4228,12
4014,12
182,12
2108,12
7480,12
2103,12
5818,12
1500,12
4068,12
7094,12
2874,12
6651,12
5904,12
13628,12
12742,12
770,12
5896,12
11946,12
8475,12
494,12
7906,12
3896,12
1620,12
7934,12
2894,12
801,12
3250,12
264,12
12689,12
6847,12
790,12
693,12
15134,12
4743,12
277,12
8250,12
12480,12
7651,12
4035,12
14979,12
344,12
350,12
15226,11
2231,11
4056,11
888,11
311,11
7727,11
4902,11
5255,11
2536,11
161,11
2321,11
559,11
152,11
9650,11
4020,11
8811,11
7726,11
9567,11
2799,11
3348,11
12105,11
7798,11
7940,11
3316,11
4871,11
131,11
782,11
4887,11
12075,11
6792,11
3704,11
1740,11
2154,11
347,11
10552,11
7960,11
10373,11
6805,11
10814,11
9628,11
11124,11
3091,11
9826,11
8020,11
4603,11
3074,11
3665,11
1181,11
1083,11
6959,11
7686,11
5132,11
7420,11
3459,11
2145,11
4858,11
2438,11
7561,11
6483,11
6129,11
3891,11
13116,11
1119,11
12905,11
2346,11
575,11
5367,11
10072,11
1809,11
1902,11
10067,11
10372,11
2200,11
7495,11
651,11
3862,11
15125,11
1775,11
2549,11
2802,11
9659,11
5547,11
9413,11
4191,11
207,11
2060,11
1158,11
9467,11
5187,11
2532,11
13792,11
4602,11
5020,11
495,11
2205,11
4522,11
1573,11
445,11
14974,11
6433,11
3044,11
5599,11
6577,11
2000,11
11739,11
8730,11
10992,11
7946,11
1540,11
